GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,ManagerHelper,0,25,0,0,0,13,0,7,0,7
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,Compra,8,24,0,0,4,10,2,4,2,4
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,TarjetaCredito,3,266,1,23,1,73,2,20,1,9
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,Tarjeta,16,151,0,10,6,41,5,18,5,13
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,Cuenta,20,359,1,33,8,99,5,34,4,18
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,TarjetaDebito,0,106,0,4,0,31,0,8,0,6
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,MovimientoTarjetaCredito,22,39,0,0,10,15,6,6,6,6
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,MovimientoCuenta,22,21,0,0,10,9,6,4,6,4
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.model,Cliente,22,26,0,0,10,11,6,5,6,5
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas,Lanzadora,32,7,0,0,11,3,1,2,1,2
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,CuentaYaCreadaException,0,4,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,TokenInvalidoException,0,3,0,0,0,1,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,PinInvalidoException,0,4,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,ClienteNoAutorizadoException,0,15,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,CuentaSinTitularesException,0,4,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,LoginException,4,0,0,0,2,0,1,0,1,0
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,ClienteNoEncontradoException,0,11,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,CuentaInvalidaException,0,13,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,ImporteInvalidoException,0,13,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,SaldoInsuficienteException,0,4,0,0,0,2,0,1,0,1
Sistema Bancario,edu.uclm.esi.iso2.banco20193capas.exceptions,TarjetaBloqueadaException,0,4,0,0,0,2,0,1,0,1
